customer_id,first_name,last_name,email,phone,city,state,region,signup_date,is_active,load_ts,bronze_ingestion_timestamp,source_file_name,load_date
CUST000001,Liam,Chaudry,udant@,8196001338,Kishanganj,Gujarat,North,2022-02-08 20:28:06,1,2025-04-17 06:00:00,2026-08-07 20:10:16,customers.csv,2026-08-07
CUST000002,Arunima,Ahuja,ckannan@example.net,916542351161,Hapur,Punjab,South,2022-12-13 17:53:58,1,2025-04-17 06:00:00,2026-08-07 20:10:16,customers.csv,2026-08-07
CUST000003,Kritika,Brar,caleb78@example.org,4959310341,Salem,Madhya Pradesh,North,2024-11-17 05:11:07,1,2025-04-17 06:00:00,2026-08-07 20:10:16,customers.csv,2026-08-07
CUST000004,Isha,Kadakia,sudiksha52@example.com,4192832764,Anantapur,Uttarakhand,Central,2023-10-18 10:23:08,1,2025-04-17 06:00:00,2026-08-07 20:10:16,customers.csv,2026-08-07
CUST000005,Nandini,Loyal,karnikazad@example.com,913953767242,Kishanganj,Nagaland,North,2022-05-26 13:12:42,1,2025-04-17 06:00:00,2026-08-07 20:10:16,customers.csv,2026-08-07
CUST000006,Theodore,Devi,priya96@example.com,7101226916,Kavali,Manipur,South,2024-02-25 01:00:38,1,2025-04-17 06:00:00,2026-08-07 20:10:16,customers.csv,2026-08-07
CUST000007,Harini,Choudhury,advay18@example.com,6270482814,Jamnagar,Kerala,Central,2022-11-05 21:12:17,0,2025-04-17 06:00:00,2026-08-07 20:10:16,customers.csv,2026-08-07
CUST000008,Anirudh,Choudhury,aadinaik@example.com,4303911718,Warangal,Sikkim,South,2023-11-29 19:43:37,1,2025-04-17 06:00:00,2026-08-07 20:10:16,customers.csv,2026-08-07
CUST000009,Pallavi,Kakar,qgandhi@example.net,3465787133,Sonipat,Andhra Pradesh,North,2025-03-24 18:23:20,1,2025-04-17 06:00:00,2026-08-07 20:10:16,customers.csv,2026-08-07
CUST000010,Daniel,Karnik,thomasamble@example.org,910518347382,Latur,Uttar Pradesh,West,2023-06-13 13:27:31,1,2025-04-17 06:00:00,2026-08-07 20:10:16,customers.csv,2026-08-07
CUST000011,Gunbir,Sankar,mray@example.org,6670106513,Jhansi,Nagaland,South,2022-12-01 11:28:43,1,2025-04-17 06:00:00,2026-08-07 20:10:16,customers.csv,2026-08-07
CUST000012,Arya,Shere,bdey@example.org,911781080132,Shivpuri,Meghalaya,North,2022-05-25 01:48:56,0,2025-04-17 06:00:00,2026-08-07 20:10:16,customers.csv,2026-08-07
CUST000013,Ladli,Agate,nandinibhargava@example.org,4746872343,Adoni,Telangana,North,2023-07-12 15:43:16,1,2025-04-17 06:00:00,2026-08-07 20:10:16,customers.csv,2026-08-07
CUST000014,Vansha,Thakkar,murthydakshesh@example.org,2081219136,Jehanabad,Haryana,Central,2023-02-15 22:03:09,1,2025-04-17 06:00:00,2026-08-07 20:10:16,customers.csv,2026-08-07
CUST000015,Diya,Lal,bumboni@example.net,915346247510,Phusro,Bihar,West,2024-04-13 00:01:56,1,2025-04-17 06:00:00,2026-08-07 20:10:16,customers.csv,2026-08-07
